product_id,source,source_url,retrieved_utc,sha256,file_size_bytes,selection_reason,licence_or_terms
ibft16req_ima,MAST/HST,https://mast.stsci.edu,2026-07-13T22:57:56.892565+00:00,dbf554ab3b226d33d33980454f5b6f56547d77a87a656ddf5b314f7d98e8cb51,105171840,"deterministic first-3 public WFC3/IR F160W GALAXY exposure sample, sorted by obs_id, for MULTIACCUM ramp linearity audit","STScI/MAST public HST archive data (dataRights=PUBLIC), no proprietary period; standard STScI archive usage terms apply, https://archive.stsci.edu/copyright.html"
icnn06srq_ima,MAST/HST,https://mast.stsci.edu,2026-07-13T22:57:56.892565+00:00,0b5cb40e6f7d56b10cdcb583ec83ad92859ad8510e71b7899eb7551658717e31,2234880,"deterministic first-3 public WFC3/IR F160W GALAXY exposure sample, sorted by obs_id, for MULTIACCUM ramp linearity audit","STScI/MAST public HST archive data (dataRights=PUBLIC), no proprietary period; standard STScI archive usage terms apply, https://archive.stsci.edu/copyright.html"
icp910qoq_ima,MAST/HST,https://mast.stsci.edu,2026-07-13T22:57:56.892565+00:00,e82be4d3d7315e07873d734890eca37ab675a614877b98cf3287d57617f8bf86,168261120,"deterministic first-3 public WFC3/IR F160W GALAXY exposure sample, sorted by obs_id, for MULTIACCUM ramp linearity audit","STScI/MAST public HST archive data (dataRights=PUBLIC), no proprietary period; standard STScI archive usage terms apply, https://archive.stsci.edu/copyright.html"
